Date,Unscheduled,fomc_latest,main,FF1,FF2,FF3,FF4,MP1,ED1,ED2,ED3,ED4,TFUT02,TFUT05,TFUT10,TFUT30,SP500,SP500FUT,EUR,FF4_MR,NFP_SURP,NFP_12M,SP500_3M,SLOPE_3M,BCOM_3M,TR_SKEW
2/1/1991,1,12/18/1990,1,,,,-0.2,,-0.1,-0.085,-0.08,-0.075,-0.0212,-0.0182,-0.0022,0.0079,,,,-0.2,-230,-0.1265,0.1382,0.2561,-0.1654,0.4358
2/7/1991,0,2/7/1991,0,0,-0.01,-0.02,-0.01,0,0,-0.01,0,-0.01,0,0,0,0.00936,-0.22618,0,,-0.01,-230,-0.1265,0.1382,0.2561,-0.1654,0.4358
3/8/1991,1,2/7/1991,1,-0.02,-0.07,-0.06,-0.04,-0.02695,-0.06,-0.09,-0.06,-0.05,0.0049,-0.03319,-0.02706,-0.01636,0.48314,0.18428,,-0.04,-77,-0.6426,0.1483,0.5532,-0.0676,0.3753
3/27/1991,0,3/27/1991,0,0,-0.02,0.01,-0.02,-0.02,-0.01,-0.02,-0.02,-0.09,0,-0.0037,-0.00905,-0.00656,0.12454,0.22335,,-0.02,-77,-0.6426,0.1309,0.5763,-0.0671,0.4029
4/30/1991,1,3/27/1991,1,,,,-0.19,,-0.01,-0.025,-0.025,-0.0281,0.0049,-0.0037,-0.009,-0.0033,0.2102,,,-0.19,-60,-0.9789,0.1099,0.4157,0.005,0.2937
5/15/1991,0,5/15/1991,1,0.01,0,0,-0.02,0.01938,0,0,0.01,0.01,-0.00325,0.00368,0.00901,0.00983,-0.24255,-0.08057,,-0.02,11,-1.21,0.0336,0.5804,-0.0156,0.2772
7/5/1991,0,7/4/1991,1,0,-0.01,0.01,0.01,0,0.02,0.02,0.02,0,0.01639,0.0149,0.02292,0.02699,-0.00533,-0.10592,,0.01,-100,-1.3924,-0.0164,0.2781,-0.0531,0.2271
8/6/1991,1,7/4/1991,1,-0.15,-0.10001,-0.07,-0.11,-0.186,-0.12,-0.12,-0.11,-0.1,-0.02429,-0.05111,-0.03111,-0.02244,0.36092,0.60759,,-0.11,-101,-1.4048,0.0119,0.1991,-0.0173,0.2241
8/21/1991,0,8/21/1991,0,0.04,0.03,0.04,0.03,0.124,0,0.03,0.03,0.03,0.00483,0.0036,0,0.00314,0.12205,0.01296,,0.03,-101,-1.4048,0.0187,0.3766,-0.0084,0.1723
9/13/1991,1,8/21/1991,1,-0.03,0.00999,0,0,-0.05294,-0.01,0,0.01,0,0.02097,0.00359,-0.00433,0.00307,0.11105,-0.12814,,0,-6,-1.2005,0.0164,0.2512,0.0328,0.0715
10/2/1991,0,10/2/1991,0,-0.01,0.01,0,0,-0.01069,0,0,0.01,0,0,0,0.00429,0,-0.04619,-0.06377,,0,-6,-1.2005,0.0475,0.0072,0.055,0.0109
10/30/1991,1,10/2/1991,1,-0.02,-0.03001,-0.03,-0.04,-0.03001,-0.01,-0.01,-0.01,0,0.01118,-0.00706,0.00427,-0.00304,0.02805,0,,-0.04,-16,-1.0897,0.0215,0.4293,0.0507,0.0017
11/6/1991,0,11/6/1991,1,-0.08,-0.12,-0.09,-0.12,-0.1,-0.08,-0.09,-0.09,-0.09,0.00797,-0.05295,-0.03855,-0.03391,0.06689,-0.11554,,-0.12,-26,-0.9296,0.0094,0.5325,0.0532,0.0153
12/6/1991,1,11/6/1991,0,0,-0.09,-0.02,-0.01,0,0.01,0.01,0.01,0.03,0.01268,0.00695,0.00841,0.00898,0.0237,0.01315,,-0.01,-211,-0.8459,-0.0328,0.488,-0.0102,0.1184
12/18/1991,0,12/18/1991,0,0.02,0.02,0,0.01,0.04769,0,0.01,0.01,0.07,0.03162,0.00348,0,-0.00298,0.00262,0.03908,,0.01,-211,-0.8459,-0.0079,0.7107,-0.0528,0.114
12/20/1991,1,12/18/1991,1,-0.13448,-0.28966,-0.25862,-0.25862,-0.37898,-0.3,-0.3,-0.25,-0.23793,-0.18131,-0.12449,-0.09564,-0.04694,0.31868,1.02194,,-0.25,-211,-0.8459,-0.0115,0.6678,-0.0677,0.1162
2/6/1992,0,2/6/1992,1,0.01,0.01,-0.02,0,0.01261,-0.01,0,0.01,0,0.01263,0.00349,-0.00418,-0.00297,0.03621,0,,0,81,-0.7706,0.056,0.6223,-0.054,0.1156
4/1/1992,0,4/1/1992,0,0.01,-0.00999,0.06,-0.01,0.01035,0.01,0,0,0.02,0.0048,-0.00356,0,-0.00614,-0.14205,-0.07467,,-0.01,140,-0.3861,-0.0068,0.043,0.0293,0.0603
4/9/1992,1,4/1/1992,1,-0.15,-0.2,-0.17001,-0.19,-0.21429,-0.22,-0.25,-0.24,-0.24,-0.1508,-0.09875,-0.04273,-0.03047,0.75332,0.86548,,-0.19,-49,-0.1918,-0.0564,0.2022,0.0501,0.0812
5/20/1992,0,5/20/1992,1,0,0.02,0.03,0.00999,0,0.02,0.02,0.01,0.01,0.03151,0.00348,-0.00419,-0.0149,-0.04802,-0.024,,0.00999,51,0.1503,0.0094,0.0665,0.0295,0.121
7/2/1992,0,7/2/1992,1,-0.08,-0.09,-0.1,-0.3,-0.08552,0,0.02,0.04,0.04,0.0235,0.02056,0.02473,0.00878,0.22288,-0.03629,,-0.3,-212,0.3492,0.0242,0.4318,0.035,0.1317
8/19/1992,0,8/19/1992,1,0.01,0.01,0.01,0.01,0.02583,-0.01,0.01,-0.01,-0.01,0.01858,0,0,0,0.02617,0.02379,,0.01,88,0.4689,0.0271,0.0997,0.0057,0.1306
9/4/1992,1,8/19/1992,1,0,0,-0.01,0.01,0,-0.02,-0.01,0,-0.02,-0.00311,0.00334,0.0119,0.01945,-0.00719,0,,0.01,-233,0.5718,0.0081,0.2393,-0.0203,0.0769
10/7/1992,0,10/7/1992,1,0,0.00999,0.00999,0.01,0,0,0,0,0,0.02324,0.01002,0,-0.00571,-0.19372,-0.07365,,0.01,-7,0.5716,-0.0162,0.1587,-0.0024,0.0874
11/18/1992,0,11/18/1992,1,-0.02,-0.01,0.01,0,-0.04999,0,-0.01,0,0.01,0.01566,0,0.00407,0.00287,0.19022,0.35591,,0,2,0.7108,-0.0035,-0.1797,-0.0185,0.0899
12/23/1992,0,12/23/1992,1,0.00999,0,-0.02,-0.01,0.03873,-0.01,-0.01,-0.01,-0.04,0,-0.00343,0,0,-0.07718,-0.1019,,-0.01,45,0.9008,0.0421,-0.4627,-0.0506,0.1588
2/4/1993,0,2/4/1993,1,0,-0.02,-0.04,-0.02,0,0,-0.01,0,0,0,0.00669,0.00394,0,-0.05131,-0.07802,,-0.02,-27,1.0742,0.0659,-0.3879,-0.0281,0.1819
3/24/1993,0,3/24/1993,1,-0.01,0,0.01,0,0,0,0,0,0.04,0.01239,0.0033,0.00772,0.00523,-0.0844,-0.14413,,0,243,1.5864,0.0302,-0.1921,0.0177,0.0614
5/19/1993,0,5/19/1993,1,-0.01,-0.02,-0.02,-0.02,-0.02583,0,-0.01,-0.02,-0.03,-0.02011,-0.01319,-0.01545,-0.01857,0.16628,0.19366,,-0.02,-31,1.627,-0.0096,-0.2003,0.0272,0.1628
7/8/1993,0,7/8/1993,1,0.02,0,0,0,0.02696,0,-0.01,0,0,-0.0155,-0.00328,-0.00759,-0.00253,0.31433,0.23544,,0,-137,1.8536,0.0033,-0.6214,0.0266,0.2129
8/18/1993,0,8/18/1993,1,0,0.02,0.01,0.01,0,0.01,0,0,0,0.01546,0.00654,0.0113,0.00245,-0.05693,-0.09854,,0.01,12,2.0568,0.0304,-0.5749,0.0056,0.2566
9/22/1993,0,9/22/1993,1,0,0,0.01,0.01,0,0,0.01,0.01,-0.02,0.01547,0.0065,0.00747,0.00962,0.0022,-0.01097,,0.01,-189,2.077,0.0207,-0.3988,-0.0009,0.1882
11/17/1993,0,11/17/1993,1,0.01,0,0.01,0,0.02308,-0.01,-0.01,-0.01,0,0.00465,-0.00977,-0.01498,-0.00723,0.04721,-0.08583,,0,17,2.3535,0.0312,-0.2366,-0.0072,0.2434
12/22/1993,0,12/22/1993,1,0,-0.01,-0.01,-0.01,0,0,0,0,-0.08,0,0,0,0.00497,0.01719,-0.03212,,-0.01,37,2.4496,0.0223,0.2005,0.0043,0.2722
2/4/1994,0,2/4/1994,1,0.14,0.10001,0.08,0,0.16333,0.13,0.15,0.14,0.15,0.14319,0.12186,0.0684,0.03211,-0.64105,-0.7626,,0,-118,2.5209,0.0259,0.0798,0.0604,0.3304
3/22/1994,0,3/22/1994,1,0,-0.04,-0.04,0,-0.00001,-0.05,-0.05,-0.03,-0.05,-0.03486,-0.06157,-0.04815,-0.04026,0.29613,0.28682,,0,67,2.455,0.0112,-0.0504,0.0413,0.3204
4/18/1994,1,3/22/1994,1,0.06001,0.08,0.09,0.12,0.15001,0.07,0.09,0.09,0.12,0.06863,0.07701,0.0541,0.03442,-0.68128,-0.78502,,0.12,227,2.9102,-0.0608,0.1014,0.0045,0.3581
5/17/1994,0,5/17/1994,1,0.05,0.05,-0.02,0.05,0.11072,-0.02,-0.06,-0.06,-0.08,-0.06731,-0.09142,-0.07918,-0.08254,0.52219,0.52646,,0.05,92,2.941,-0.0617,-0.1224,0.0624,0.3859
7/6/1994,0,7/6/1994,1,-0.04,0,0,0,-0.0496,-0.02,-0.01,-0.01,-0.01,0.00322,0.00356,0.01275,0.01784,-0.22844,-0.07824,,0,-84,2.9874,0.0018,-0.4509,0.0758,0.4797
8/16/1994,0,8/16/1994,1,0.06,0.09,0,0,0.12399,0.08,0.04,0.01,0.01,-0.00483,-0.02475,-0.03347,-0.0462,0.25704,0.1836,,0,49,3.1438,0.0386,-0.249,0.0082,0.3992
9/27/1994,0,9/27/1994,1,-0.02,-0.09,-0.05,-0.03,-0.09,-0.02,-0.02,-0.01,0,0.00487,0.02886,0.02604,0.03703,-0.17136,-0.26979,,-0.03,-54,3.2642,0.0246,-0.054,0.0053,0.4458
11/15/1994,0,11/15/1994,1,0.06,0.08,0.05,0.08,0.12,0.04,0.03,0.03,0.03,0.00816,-0.00732,-0.01325,-0.03146,-0.44889,-0.91315,,0.08,-51,3.2786,0.0088,-0.1741,0.0368,0.171
12/20/1994,0,12/20/1994,1,-0.08,-0.14,-0.05,-0.05,-0.22546,-0.07,-0.01,0.01,0.02,0.01157,0.00369,0.00882,0.00913,0.10486,0,,-0.05,100,3.4085,-0.0286,-1.195,0.0169,0.2226
2/1/1995,0,2/1/1995,1,0.06001,0.03,0.03999,0,0.06223,0.06,0.07,0.06,0.05,0.05245,0.03646,0.02165,0.02082,-0.25438,-0.17962,,0,-4,3.3719,0.0098,-0.9254,0.008,0.2575
3/28/1995,0,3/28/1995,1,0.01,-0.01,0.01,0.02,-0.01,0.02,0.02,0.02,0.02,0.01299,0.01427,0.00839,0.00859,-0.15511,-0.08885,,0.02,86,3.4116,0.0906,0.1717,0.0213,0.3015
5/23/1995,0,5/23/1995,1,0,0.02,0,0,0.00001,-0.01,-0.02,-0.01,-0.01,0.00802,0.00694,0.00401,0.00526,-0.04189,0,,0,-159,3.016,0.0762,-0.1325,0.0308,0.2104
7/6/1995,0,7/6/1995,1,-0.09,-0.11,0,-0.15,-0.1116,-0.18,-0.26,-0.25,-0.25,-0.19909,-0.17063,-0.13282,-0.10505,0.2993,0.33528,,-0.15,-274,2.7078,0.0889,-0.3155,-0.0367,0.1121
8/22/1995,0,8/22/1995,1,0.01,0.03001,0.01,0,0.03443,0.05,0.05,0.06,0.04,0.03206,0.03125,0.02409,0.02638,-0.18269,-0.17867,,0,-70,2.3882,0.0715,0.0927,-0.0018,0.1481
9/26/1995,0,9/26/1995,1,0,0.03001,0.03,0.03,0.03001,0.07,0.07,0.08,0.05,0.04793,0.04122,0.03557,0.02292,-0.16138,-0.28127,,0.03,84,2.3567,0.0543,0.068,0.0228,0.0451
11/15/1995,0,11/15/1995,1,0.02,0.02,0.03,0,0.03999,0.04,0.03,0.02,0.02,0.0238,0.02027,0.01543,0.00726,-0.06111,-0.05076,,0,-14,2.2024,0.0514,-0.3379,0.0341,0.0427
12/19/1995,0,12/19/1995,1,-0.035,-0.07,-0.06,-0.05,-0.09041,-0.05,-0.03,-0.03,-0.04,-0.04431,-0.02348,-0.02668,-0.01901,0.25709,0.26922,,-0.05,6,1.9613,0.0394,-0.1092,0.0321,-0.011
1/31/1996,0,1/31/1996,1,0,-0.03,-0.01,-0.02,-0.03,-0.02,-0.03,-0.04,-0.04,-0.04241,-0.03308,-0.01869,-0.00695,0.05541,0.05523,,-0.02,11,1.8329,0.0886,0.2743,0.0398,0.0356
3/26/1996,0,3/26/1996,1,0,0.02,0.01,-0.01,0.02,0.02,0.02,0.03,,0.03189,0.01714,0.01582,0.01283,0.15989,0.09139,,0.00999,409,1.7339,0.0703,0.3733,0.0607,0.1235
5/21/1996,0,5/21/1996,1,0.005,-0.005,0.01,0.01,0.0155,0,0.01,0.01,0.03,0.01281,0.01734,0.01211,0.01593,-0.19289,-0.2515,,0,-126,1.7704,0.033,-0.0179,0.0741,0.223
7/3/1996,0,7/3/1996,1,-0.055,-0.04,-0.04,-0.03,-0.06089,-0.06,-0.02,-0.02,-0.01,-0.02413,-0.01048,-0.00407,0.00268,0.1534,0.05908,,-0.03,178,2.0623,0.0426,-0.01,-0.0531,0.203
8/20/1996,0,8/20/1996,1,-0.01,-0.01,0,0.005,-0.02818,-0.01,0,0.01,0,0.0048,0.00692,0.01199,0.01047,-0.1306,-0.05991,,0,3,2.2234,0.0026,-0.1601,-0.0483,0.181
9/24/1996,0,9/24/1996,1,-0.025,-0.13,-0.13,-0.12,-0.13,-0.1,-0.09,-0.08,,-0.05631,-0.05247,-0.02853,-0.01618,0.00873,-0.06494,,-0.13,13,2.1545,0.0362,-0.1311,0.0121,0.1717
11/13/1996,0,11/13/1996,1,0,0,0,-0.01,0,-0.02,-0.01,-0.01,-0.03,-0.01115,-0.01365,-0.01174,-0.01998,0.25457,0.28636,,-0.01,15,2.2071,0.0915,-0.1585,-0.0033,0.1935
