Date,schedstr,MP1,MP2,FF1,FF2,FF3,FF4,FF5,FF6,ED1,ED2,ED3,ED4
2/1/2007,,,,,,,,,,,,,
3/1/2007,3/21/2007,0,-0.014090909,0,-0.005,-0.01,-0.01,-0.04,-0.05,-0.05,-0.095,-0.115,-0.12
4/1/2007,,,,,,,,,,,,,
5/1/2007,5/9/2007,0.007045455,0.005,0.005,0,0.005,0.005,0.015,0.02,0.005,0.035,0.055,0.07
6/1/2007,6/28/2007,0,0,0,0,0,0.005,0,0.005,0.005,0.01,0.02,0.025
7/1/2007,,,,,,,,,,,,,
8/1/2007,8/7/2007,-0.000922619,0.051383929,0.005,0.02,-0.0075,-0.03,-0.055,-0.0475,-0.0525,-0.08,-0.075,-0.08
9/1/2007,9/18/2007,-0.2125,-0.155,-0.085,-0.18,-0.155,-0.155,-0.15,-0.145,-0.18,-0.185,-0.175,-0.16
10/1/2007,10/31/2007,-0.02,0.03425,0,-0.02,0.015,0.03,0.05,0.075,0.015,0.06,0.085,0.09
11/1/2007,,,,,,,,,,,,,
12/1/2007,12/11/2007,0.031,0.025,0.02,0.045,0.025,0.035,0.025,0.0125,0.185,0.125,0.02,-0.055
1/1/2008,1/30/2008,-0.575,-0.323076923,-0.1325,-0.335,-0.265,-0.235,-0.27,-0.25,-0.275,-0.225,-0.16,-0.105
2/1/2008,,,,,,,,,,,,,
3/1/2008,3/18/2008,0.192557692,0.093115385,0.1,0.17,0.175,0.1775,0.195,0.195,0.085,0.105,0.115,0.125
4/1/2008,4/30/2008,-0.06,-0.065,0,-0.06,-0.065,-0.065,-0.0725,-0.075,-0.06,-0.08,-0.08,-0.05
5/1/2008,,,,,,,,,,,,,
6/1/2008,6/25/2008,-0.01,-0.039807692,0,-0.01,-0.035,-0.045,-0.06,-0.035,-0.065,-0.05,-0.045,-0.06
7/1/2008,,,,,,,,,,,,,
8/1/2008,8/5/2008,-0.005961538,-0.014615385,-0.005,-0.01,-0.0225,-0.025,-0.035,-0.055,-0.025,-0.035,-0.03,-0.04
9/1/2008,9/16/2008,0.1125,0.13,0.0525,0.105,0.13,0.1275,0.115,0.11,0.14,0.1,0.09,0.09
10/1/2008,10/29/2008,-0.181413043,-0.085333333,-0.0975,-0.075,-0.085,-0.085,-0.04,-0.06,0.02,-0.06,-0.09,-0.095
11/1/2008,,-0.005,,0.0025,-0.005,-0.005,-0.0025,,,-0.0875,-0.125,-0.135,-0.1225
